,content,page_number,pdf_name,t_x1,t_x2,t_y1,t_y2,x1,x2,y1,y2
126,1,2,eu-001,102,480,482,747,388,393,676,684
127,1,2,eu-001,102,480,482,747,460,465,676,684
128,Atrazine,2,eu-001,102,480,482,747,102,139,666,674
129,-,2,eu-001,102,480,482,747,322,325,666,674
130,1,2,eu-001,102,480,482,747,388,393,666,674
131,1,2,eu-001,102,480,482,747,460,465,666,674
132,Chlordane,2,eu-001,102,480,482,747,102,147,656,664
133,1,2,eu-001,102,480,482,747,321,326,656,664
134,1,2,eu-001,102,480,482,747,388,393,656,664
135,1,2,eu-001,102,480,482,747,460,465,656,664
136,Chlordecone,2,eu-001,102,480,482,747,102,157,645,653
137,1,2,eu-001,102,480,482,747,321,326,645,653
138,1,2,eu-001,102,480,482,747,388,393,645,653
139,1,2,eu-001,102,480,482,747,460,465,645,653
140,Chlorfenvinphos,2,eu-001,102,480,482,747,102,175,635,643
141,-,2,eu-001,102,480,482,747,322,325,635,643
142,1,2,eu-001,102,480,482,747,388,393,635,643
143,1,2,eu-001,102,480,482,747,460,465,635,643
144,Chlorpyrifos,2,eu-001,102,480,482,747,102,156,625,633
145,-,2,eu-001,102,480,482,747,322,325,625,633
146,1,2,eu-001,102,480,482,747,388,393,625,633
147,1,2,eu-001,102,480,482,747,460,465,625,633
148,DDT,2,eu-001,102,480,482,747,102,120,615,623
149,1,2,eu-001,102,480,482,747,321,326,615,623
150,1,2,eu-001,102,480,482,747,388,393,615,623
151,1,2,eu-001,102,480,482,747,460,465,615,623
152,Diuron,2,eu-001,102,480,482,747,102,132,604,612
153,-,2,eu-001,102,480,482,747,322,325,604,612
154,1,2,eu-001,102,480,482,747,388,393,604,612
155,1,2,eu-001,102,480,482,747,460,465,604,612
156,Endosulphan,2,eu-001,102,480,482,747,102,159,594,602
157,-,2,eu-001,102,480,482,747,322,325,594,602
158,1,2,eu-001,102,480,482,747,388,393,594,602
159,1,2,eu-001,102,480,482,747,460,465,594,602
160,Endrin,2,eu-001,102,480,482,747,102,131,584,592
161,1,2,eu-001,102,480,482,747,321,326,584,592
162,1,2,eu-001,102,480,482,747,388,393,584,592
163,1,2,eu-001,102,480,482,747,460,465,584,592
164,Heptachlor,2,eu-001,102,480,482,747,102,151,574,582
165,1,2,eu-001,102,480,482,747,321,326,574,582
166,1,2,eu-001,102,480,482,747,388,393,574,582
167,1,2,eu-001,102,480,482,747,460,465,574,582
168,Isodrin,2,eu-001,102,480,482,747,102,134,564,572
169,-,2,eu-001,102,480,482,747,322,325,564,572
170,1,2,eu-001,102,480,482,747,388,393,564,572
171,-,2,eu-001,102,480,482,747,460,464,564,572
172,Isoproturon,2,eu-001,102,480,482,747,102,156,553,561
173,-,2,eu-001,102,480,482,747,322,325,553,561
174,1,2,eu-001,102,480,482,747,388,393,553,561
175,1,2,eu-001,102,480,482,747,460,465,553,561
176,Lindane,2,eu-001,102,480,482,747,102,137,543,551
177,1,2,eu-001,102,480,482,747,321,326,543,551
178,1,2,eu-001,102,480,482,747,388,393,543,551
179,1,2,eu-001,102,480,482,747,460,465,543,551
180,Mirex,2,eu-001,102,480,482,747,102,126,533,541
181,1,2,eu-001,102,480,482,747,321,326,533,541
182,1,2,eu-001,102,480,482,747,388,393,533,541
183,1,2,eu-001,102,480,482,747,460,465,533,541
184,Simazine,2,eu-001,102,480,482,747,102,142,523,531
185,-,2,eu-001,102,480,482,747,322,325,523,531
186,1,2,eu-001,102,480,482,747,388,393,523,531
187,1,2,eu-001,102,480,482,747,460,465,523,531
188,Toxaphene,2,eu-001,102,480,482,747,102,151,512,520
189,1,2,eu-001,102,480,482,747,321,326,512,520
190,1,2,eu-001,102,480,482,747,388,393,512,520
191,1,2,eu-001,102,480,482,747,460,465,512,520
192,Tributylin and compounds,2,eu-001,102,480,482,747,102,218,502,510
193,-,2,eu-001,102,480,482,747,322,325,502,510
194,1,2,eu-001,102,480,482,747,388,393,502,510
195,1,2,eu-001,102,480,482,747,460,465,502,510
196,Trifluralin,2,eu-001,102,480,482,747,102,146,492,500
197,-,2,eu-001,102,480,482,747,322,325,492,500
198,1,2,eu-001,102,480,482,747,388,393,492,500
199,1,2,eu-001,102,480,482,747,460,465,492,500
200,Triphenyltin and compounds,2,eu-001,102,480,482,747,102,230,482,490
201,-,2,eu-001,102,480,482,747,322,325,482,490
202,1,2,eu-001,102,480,482,747,388,393,482,490
203,1,2,eu-001,102,480,482,747,460,465,482,490
204,THRESHOLD FOR RELEASES,2,eu-001,101,483,201,446,332,457,436,446
205,"to air
kg/year",2,eu-001,101,483,201,446,307,343,416,433
206,"to water
kg/year",2,eu-001,101,483,201,446,377,415,416,433
207,"to land
kg/year",2,eu-001,101,483,201,446,447,483,416,433
208,"1,1,1-trichloroethane",2,eu-001,101,483,201,446,101,197,405,413
209,100,2,eu-001,101,483,201,446,318,333,405,413
210,-,2,eu-001,101,483,201,446,394,398,405,413
211,-,2,eu-001,101,483,201,446,463,467,405,413
212,"1,1,2,2-tetrachloroethane",2,eu-001,101,483,201,446,101,217,395,403
213,50,2,eu-001,101,483,201,446,320,330,395,403
214,-,2,eu-001,101,483,201,446,394,398,395,403
215,-,2,eu-001,101,483,201,446,463,467,395,403
216,"1,2-dichloroethane (EDC)",2,eu-001,101,483,201,446,101,216,385,393
217,1 000,2,eu-001,101,483,201,446,314,337,385,393
218,10,2,eu-001,101,483,201,446,391,401,385,393
219,10,2,eu-001,101,483,201,446,460,470,385,393
220,Brominated diphenylethers (PBDE),2,eu-001,101,483,201,446,101,259,375,383
221,-,2,eu-001,101,483,201,446,323,327,375,383
222,1,2,eu-001,101,483,201,446,393,398,375,383
223,1,2,eu-001,101,483,201,446,463,468,375,383
224,"Chloro-alkanes, C10-C13",2,eu-001,101,483,201,446,101,212,364,372
225,-,2,eu-001,101,483,201,446,323,327,364,372
226,1,2,eu-001,101,483,201,446,393,398,364,372
227,1,2,eu-001,101,483,201,446,463,468,364,372
228,Dichloromethane (DCM),2,eu-001,101,483,201,446,101,209,354,362
229,1 000,2,eu-001,101,483,201,446,314,337,354,362
230,10,2,eu-001,101,483,201,446,391,401,354,362
231,10,2,eu-001,101,483,201,446,460,470,354,362
232,Dieldrin,2,eu-001,101,483,201,446,101,136,344,352
233,1,2,eu-001,101,483,201,446,323,328,344,352
234,1,2,eu-001,101,483,201,446,393,398,344,352
235,1,2,eu-001,101,483,201,446,463,468,344,352
236,Halogenated Organic Compounds (AOX),2,eu-001,101,483,201,446,101,281,334,342
237,-,2,eu-001,101,483,201,446,323,327,334,342
238,1 000,2,eu-001,101,483,201,446,384,407,334,342
239,1 000,2,eu-001,101,483,201,446,454,477,334,342
240,Hexabromobifenyl,2,eu-001,101,483,201,446,101,183,324,332
241,"0,1",2,eu-001,101,483,201,446,319,332,324,332
242,"0,1",2,eu-001,101,483,201,446,389,402,324,332
243,"0,1",2,eu-001,101,483,201,446,459,472,324,332
244,Hexachlorobenzene (HCB),2,eu-001,101,483,201,446,101,219,313,321
245,10,2,eu-001,101,483,201,446,320,330,313,321
246,1,2,eu-001,101,483,201,446,393,398,313,321
247,1,2,eu-001,101,483,201,446,463,468,313,321
248,Hexachlorobutadiene (HCBD),2,eu-001,101,483,201,446,101,233,303,311
249,-,2,eu-001,101,483,201,446,323,327,303,311
250,1,2,eu-001,101,483,201,446,393,398,303,311
251,1,2,eu-001,101,483,201,446,463,468,303,311
252,PCDD+PCFD (Dioxins+furans) (as Teq),2,eu-001,101,483,201,446,101,277,293,301
253,"0,0001",2,eu-001,101,483,201,446,311,339,293,301
254,"0,0001",2,eu-001,101,483,201,446,382,410,293,301
255,"0,0001",2,eu-001,101,483,201,446,451,480,293,301
256,Pentachlorobenzene,2,eu-001,101,483,201,446,101,193,283,291
257,1,2,eu-001,101,483,201,446,323,328,283,291
258,1,2,eu-001,101,483,201,446,393,398,283,291
259,1,2,eu-001,101,483,201,446,463,468,283,291
260,Pentachlorophenol (PCP),2,eu-001,101,483,201,446,101,214,272,280
261,10,2,eu-001,101,483,201,446,320,330,272,280
262,1,2,eu-001,101,483,201,446,393,398,272,280
263,1,2,eu-001,101,483,201,446,463,468,272,280
264,Polychlorinated biphenyls (PCB),2,eu-001,101,483,201,446,101,246,262,270
265,"0,1",2,eu-001,101,483,201,446,319,332,262,270
266,"0,1",2,eu-001,101,483,201,446,389,402,262,270
267,"0,1",2,eu-001,101,483,201,446,459,472,262,270
268,Tetrachloroethylene (PER),2,eu-001,101,483,201,446,101,221,252,260
269,2 000,2,eu-001,101,483,201,446,314,337,252,260
270,10,2,eu-001,101,483,201,446,391,401,252,260
271,-,2,eu-001,101,483,201,446,464,467,252,260
272,Tetrachloromethane (TCM),2,eu-001,101,483,201,446,101,222,242,250
273,100,2,eu-001,101,483,201,446,318,333,242,250
274,1,2,eu-001,101,483,201,446,393,398,242,250
275,-,2,eu-001,101,483,201,446,463,467,242,250
276,Trichlorobenzenes (TCBs) (all isomers),2,eu-001,101,483,201,446,101,277,232,240
277,10,2,eu-001,101,483,201,446,320,330,232,240
278,1,2,eu-001,101,483,201,446,393,398,232,240
279,-,2,eu-001,101,483,201,446,463,467,232,240
280,Trichloroethylene,2,eu-001,101,483,201,446,101,180,221,229
281,2 000,2,eu-001,101,483,201,446,314,337,221,229
282,10,2,eu-001,101,483,201,446,391,401,221,229
283,-,2,eu-001,101,483,201,446,464,467,221,229
284,Trichloromethane,2,eu-001,101,483,201,446,101,181,211,219
285,500,2,eu-001,101,483,201,446,318,333,211,219
286,10,2,eu-001,101,483,201,446,391,401,211,219
287,-,2,eu-001,101,483,201,446,463,467,211,219
288,Vynil chloride,2,eu-001,101,483,201,446,101,162,201,209
289,1 000,2,eu-001,101,483,201,446,314,337,201,209
290,10,2,eu-001,101,483,201,446,391,401,201,209
291,10,2,eu-001,101,483,201,446,460,470,201,209
292,THRESHOLD FOR RELEASES,3,eu-001,103,484,494,747,346,471,737,747
293,"to air
kg/year",3,eu-001,103,484,494,747,332,368,716,734
294,"to water
kg/year",3,eu-001,103,484,494,747,388,426,716,734
295,"to land
kg/year",3,eu-001,103,484,494,747,448,484,716,734
296,Anthracene,3,eu-001,103,484,494,747,103,154,706,714
297,50,3,eu-001,103,484,494,747,345,355,706,714
298,1,3,eu-001,103,484,494,747,405,410,706,714
299,1,3,eu-001,103,484,494,747,463,468,706,714
300,Benzene,3,eu-001,103,484,494,747,103,141,691,699
301,1 000,3,eu-001,103,484,494,747,338,362,691,699
302,"200 (as
BTEX)",3,eu-001,103,484,494,747,392,422,686,704
303,"200 (as
BTEX)",3,eu-001,103,484,494,747,450,481,686,704
304,"Benzo(g,h,i)perylene",3,eu-001,103,484,494,747,103,197,676,684
305,-,3,eu-001,103,484,494,747,348,352,676,684
306,1,3,eu-001,103,484,494,747,405,410,676,684
307,-,3,eu-001,103,484,494,747,464,467,676,684
308,Di-(2-ethyl hexyl) phthalate (DEHP),3,eu-001,103,484,494,747,103,265,666,674
309,10,3,eu-001,103,484,494,747,345,355,666,674
310,1,3,eu-001,103,484,494,747,405,410,666,674
311,1,3,eu-001,103,484,494,747,463,468,666,674
312,Ethyl benzene,3,eu-001,103,484,494,747,103,166,651,659
313,-,3,eu-001,103,484,494,747,348,352,651,659
314,"200 (as
BTEX)",3,eu-001,103,484,494,747,392,422,646,664
315,"200 (as
BTEX)",3,eu-001,103,484,494,747,450,481,646,664
316,Ethylene oxide,3,eu-001,103,484,494,747,103,169,636,644
317,1 000,3,eu-001,103,484,494,747,338,362,636,644
318,10,3,eu-001,103,484,494,747,402,412,636,644
319,10,3,eu-001,103,484,494,747,461,471,636,644
320,Fluoranthene,3,eu-001,103,484,494,747,103,162,625,633
321,-,3,eu-001,103,484,494,747,348,352,625,633
322,1,3,eu-001,103,484,494,747,405,410,625,633
323,-,3,eu-001,103,484,494,747,464,467,625,633
324,Naphthalene,3,eu-001,103,484,494,747,103,160,615,623
325,100,3,eu-001,103,484,494,747,342,358,615,623
326,10,3,eu-001,103,484,494,747,402,412,615,623
327,10,3,eu-001,103,484,494,747,461,471,615,623
328,"Nonylphenol and Nonylphenol ethoxylates
(NP/NPEs)",3,eu-001,103,484,494,747,103,293,595,613
329,-,3,eu-001,103,484,494,747,348,352,600,608
330,1,3,eu-001,103,484,494,747,405,410,600,608
331,1,3,eu-001,103,484,494,747,463,468,600,608
332,Octylphenols and octylphenol ethoxylates,3,eu-001,103,484,494,747,103,291,585,593
333,-,3,eu-001,103,484,494,747,348,352,585,593
334,1,3,eu-001,103,484,494,747,405,410,585,593
335,-,3,eu-001,103,484,494,747,464,467,585,593
336,Organotin compounds (as total Sn),3,eu-001,103,484,494,747,103,261,575,583
337,-,3,eu-001,103,484,494,747,348,352,575,583
338,50,3,eu-001,103,484,494,747,402,412,575,583
339,50,3,eu-001,103,484,494,747,461,471,575,583
340,Phenols (as total C),3,eu-001,103,484,494,747,103,192,565,573
341,-,3,eu-001,103,484,494,747,348,352,565,573
342,20,3,eu-001,103,484,494,747,402,412,565,573
343,20,3,eu-001,103,484,494,747,461,471,565,573
344,Polycyclic Aromatic hydrocarbons (PAHs),3,eu-001,103,484,494,747,103,289,554,562
345,50,3,eu-001,103,484,494,747,345,355,554,562
346,5,3,eu-001,103,484,494,747,405,410,554,562
347,5,3,eu-001,103,484,494,747,463,468,554,562
348,Toluene,3,eu-001,103,484,494,747,103,138,539,547
349,-,3,eu-001,103,484,494,747,348,352,539,547
350,"200 (as
BTEX)",3,eu-001,103,484,494,747,392,422,534,552
351,"200 (as
BTEX)",3,eu-001,103,484,494,747,450,481,534,552
352,"Total Organic Carbon (TOC) (as total C or
COD/3)",3,eu-001,103,484,494,747,103,288,514,532
353,-,3,eu-001,103,484,494,747,348,352,519,527
354,50 000,3,eu-001,103,484,494,747,393,421,519,527
355,-,3,eu-001,103,484,494,747,464,467,519,527
356,Xylenes,3,eu-001,103,484,494,747,103,138,499,507
357,-,3,eu-001,103,484,494,747,348,352,499,507
358,"200 (as
BTEX)",3,eu-001,103,484,494,747,392,422,494,512
359,"200 (as
BTEX)",3,eu-001,103,484,494,747,450,481,494,512
360,THRESHOLD FOR RELEASES,3,eu-001,105,479,347,449,346,471,439,449
361,"to air
kg/year",3,eu-001,105,479,347,449,330,366,419,436
362,"to water
kg/year",3,eu-001,105,479,347,449,381,419,419,436
363,"to land
kg/year",3,eu-001,105,479,347,449,443,479,419,436
364,Asbestos,3,eu-001,105,479,347,449,105,146,408,416
365,1,3,eu-001,105,479,347,449,345,350,408,416
366,1,3,eu-001,105,479,347,449,398,403,408,416
367,1,3,eu-001,105,479,347,449,458,463,408,416
368,Chlorides (as total Cl),3,eu-001,105,479,347,449,105,204,398,406
369,-,3,eu-001,105,479,347,449,346,349,398,406
370,2 million,3,eu-001,105,479,347,449,383,417,398,406
371,2 million,3,eu-001,105,479,347,449,444,478,398,406
372,Cyanides (as total CN),3,eu-001,105,479,347,449,105,206,388,396
373,-,3,eu-001,105,479,347,449,346,349,388,396
374,50,3,eu-001,105,479,347,449,395,405,388,396
375,50,3,eu-001,105,479,347,449,456,466,388,396
376,Fluorides (as total F),3,eu-001,105,479,347,449,105,200,378,386
377,-,3,eu-001,105,479,347,449,346,349,378,386
378,2 000,3,eu-001,105,479,347,449,389,412,378,386
379,2 000,3,eu-001,105,479,347,449,449,472,378,386
380,Particulate matter (PM10),3,eu-001,105,479,347,449,105,224,367,375
381,50 000,3,eu-001,105,479,347,449,333,362,367,375
382,-,3,eu-001,105,479,347,449,399,402,367,375
383,-,3,eu-001,105,479,347,449,459,463,367,375
384,Total Nitrogen,3,eu-001,105,479,347,449,105,170,357,365
385,-,3,eu-001,105,479,347,449,346,349,357,365
386,50 000,3,eu-001,105,479,347,449,386,414,357,365
387,50 000,3,eu-001,105,479,347,449,447,475,357,365
388,Total Phosphorus,3,eu-001,105,479,347,449,105,184,347,355
389,-,3,eu-001,105,479,347,449,346,349,347,355
390,5 000,3,eu-001,105,479,347,449,389,412,347,355
391,5 000,3,eu-001,105,479,347,449,449,472,347,355
392,Q1,1,eu-002,124,507,499,630,200,215,619,630
393,Q2,1,eu-002,124,507,499,630,272,287,619,630
394,Q3,1,eu-002,124,507,499,630,343,358,619,630
395,Q4,1,eu-002,124,507,499,630,415,429,619,630
396,Total,1,eu-002,124,507,499,630,482,505,619,630
397,2004,1,eu-002,124,507,499,630,124,149,595,606
398,34.7,1,eu-002,124,507,499,630,197,218,595,606
399,36.2,1,eu-002,124,507,499,630,269,290,595,606
400,44.5,1,eu-002,124,507,499,630,340,361,595,606
401,51.3,1,eu-002,124,507,499,630,412,432,595,606
402,166.7,1,eu-002,124,507,499,630,480,507,595,606
403,2005,1,eu-002,124,507,499,630,124,149,571,582
404,58.1,1,eu-002,124,507,499,630,197,218,571,582
405,63.4,1,eu-002,124,507,499,630,269,290,571,582
406,61.6,1,eu-002,124,507,499,630,340,361,571,582
407,55.2,1,eu-002,124,507,499,630,412,432,571,582
408,238.4,1,eu-002,124,507,499,630,480,507,571,582
409,2006,1,eu-002,124,507,499,630,124,149,547,558
410,74.7,1,eu-002,124,507,499,630,197,218,547,558
411,84.1,1,eu-002,124,507,499,630,269,290,547,558
412,96.5,1,eu-002,124,507,499,630,340,361,547,558
413,111.8,1,eu-002,124,507,499,630,409,436,547,558
414,367.1,1,eu-002,124,507,499,630,480,507,547,558
415,2007,1,eu-002,124,507,499,630,124,149,523,534
416,148.8,1,eu-002,124,507,499,630,194,221,523,534
417,142.3,1,eu-002,124,507,499,630,266,293,523,534
418,156.7,1,eu-002,124,507,499,630,337,364,523,534
419,186.1,1,eu-002,124,507,499,630,409,436,523,534
420,633.9,1,eu-002,124,507,499,630,480,507,523,534
421,2008,1,eu-002,124,507,499,630,124,149,499,510
422,120.9,1,eu-002,124,507,499,630,194,221,499,510
423,106,1,eu-002,124,507,499,630,270,288,499,510
424,226.8,1,eu-002,124,507,499,630,480,507,499,510
425,All companies analysed,1,eu-003,238,519,564,651,238,337,641,651
426,"FTSE Eurotop 100 companies
analysed",1,eu-003,238,519,564,651,383,519,630,651
427,"Number of member states in
the analysis",1,eu-003,238,519,564,651,92,228,608,629
428,21,1,eu-003,238,519,564,651,238,249,619,629
429,8,1,eu-003,238,519,564,651,383,389,619,629
430,"Number of member states
where one or more of the
financial companies applied the
amendment",1,eu-003,238,519,564,651,92,228,564,607
431,11,1,eu-003,238,519,564,651,238,249,596,607
432,3,1,eu-003,238,519,564,651,383,389,596,607
433,"Number of
financial
companies",1,eu-003,209,519,407,529,209,279,497,529
434,"Pct of all
companies
analysed",1,eu-003,209,519,407,529,289,359,497,529
435,"Number of
financial
companies on
FTSE Eurotop
100",1,eu-003,209,519,407,529,369,439,475,529
436,"Pct of FTSE
Eurotop 100
companies",1,eu-003,209,519,407,529,449,519,497,529
437,0 reclassifications,1,eu-003,209,519,407,529,92,168,464,474
438,52,1,eu-003,209,519,407,529,209,220,464,474
439,52%,1,eu-003,209,519,407,529,289,308,464,474
440,14,1,eu-003,209,519,407,529,369,380,464,474
441,64%,1,eu-003,209,519,407,529,449,468,464,474
442,1 reclassification,1,eu-003,209,519,407,529,92,164,452,463
443,28,1,eu-003,209,519,407,529,209,220,452,463
444,28%,1,eu-003,209,519,407,529,289,308,452,463
445,4,1,eu-003,209,519,407,529,369,375,452,463
446,18%,1,eu-003,209,519,407,529,449,468,452,463
447,2 reclassifications,1,eu-003,209,519,407,529,92,168,441,451
448,11,1,eu-003,209,519,407,529,209,220,441,451
449,11%,1,eu-003,209,519,407,529,289,308,441,451
450,2,1,eu-003,209,519,407,529,369,375,441,451
451,9%,1,eu-003,209,519,407,529,449,462,441,451
452,3 reclassifications,1,eu-003,209,519,407,529,92,168,430,440
453,8,1,eu-003,209,519,407,529,209,215,430,440
454,8%,1,eu-003,209,519,407,529,289,302,430,440
455,2,1,eu-003,209,519,407,529,369,375,430,440
